--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|e|bt|bc|c|ck
HORIZONTE->Profundidad de la muestra (cm): 0-17|17-30|30-54|54-73|73-90|90 a +
HORIZONTE->Materia Orgánica (%): 1.96|||||
HORIZONTE->Carbono Orgánico (%): 1.14||0.19|0.12||0.11
HORIZONTE->Nitrógeno total (%): 0.125|0.043|0.040|0.029|0.023|0.023
HORIZONTE->Relación C/N: 9.1||4.7|4.1||
HORIZONTE->Arcilla, <2 u (%): 15.5|8.5|17.2|15.1|13.1|12.1
HORIZONTE->Limo, 2-50 u (%): 38.9|43.9|38.1|36.9|35.8|38.8
HORIZONTE->Arena muy fina, 50-100 u (%): 43.3|42.8|41.7|44.2|43.0|45.0
HORIZONTE->Arena fina, 100-250 u (%): 1.8|2.9|4.4|3.3|7.1|3.5
HORIZONTE->Arena media, 250-500 u (%): |||||
HORIZONTE->Arena gruesa, 500-1000 u (%): |||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0.47|0.09|0.147|0|1.02
HORIZONTE->Equivalente de humedad (%): 1.7|14.1|22.0|21.1|16.3|15.1
HORIZONTE->pH en pasta: 5.2|7.4|8.2|8.6|8.5|8.6
HORIZONTE->pH en agua 1:2,5: 5.6|8.9|9.2|9.3|9.2|9.3
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 4.9||6.4||| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.9||1.9|||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.6||8.2|||
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.5||2.7|||
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 4.1|||||
HORIZONTE->Na+, % del valor T: ||44.5|||
HORIZONTE->Conductividad, mmhos/cm: |19.2|6.0|12.9|18.2|16.5
HORIZONTE->Suma de bases, me/100 gr (S): 9.9||19.2|||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 14.0|16.2|18.4|18.5|15.6|14.5
HORIZONTE->Saturación con bases, % (S/T): 70||100|||
HORIZONTE->Composición extracto de saturación, me/1-Ca++: |20.9|8.8|10.0|11.5|11.8
HORIZONTE->Composición extracto de saturación, me/1-Mg++: |11.2||6.5|7.3|6.2
HORIZONTE->Composición extracto de saturación, me/1-Na+: |196.0|52.0|121.0|180.0|172.0
HORIZONTE->Composición extracto de saturación, me/1-K+: |3.9|1.15|2.2|3.0|2.5
HORIZONTE->Composición extracto de saturación, me/1-HCO3-: |3.0|5.4|4.0|3.0|6.8
HORIZONTE->Composición extracto de saturación, me/1-SO4=: |124.0|19.7|72.8|101.0|96.0
HORIZONTE->Composición extracto de saturación, me/1-Cl-: |104.0|33.9|66.4|105.0|92.4
