--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: e|bt|bc|c|2ck
HORIZONTE->Profundidad de la muestra (cm): 0-17|17-41|41-60|60-97|97 a +
HORIZONTE->Materia Orgánica (%): 0.73|0.48|||
HORIZONTE->Carbono Orgánico (%): 0.43|0.28|0.10|0.10|0.06
HORIZONTE->Nitrógeno total (%): 0.060|0.043|0.031|0.031|
HORIZONTE->Relación C/N: 7.1|6.5|3.2|3.2|
HORIZONTE->Arcilla, <2 u (%): 17.5|19.5|17.8|17.7|11.8
HORIZONTE->Limo, 2-50 u (%): 41.5|45.2|40.7|37.3|58.0
HORIZONTE->Arena muy fina, 50-100 u (%): 7.2|7.0|7.1|8.0|17.3
HORIZONTE->Arena fina, 100-250 u (%): 26.6|22.7|25.2|30.0|9.0
HORIZONTE->Arena media, 250-500 u (%): 4.6|3.7|7.0|5.4|0.9
HORIZONTE->Arena gruesa, 500-1000 u (%): 2.4|2.1|2.8|2.1|0.5
HORIZONTE->Arena muy gruesa, 1-2 mm (%)0: 0.1||||
HORIZONTE->Calcáreo, CaCO3 (%): 0.16|0.73|0.51|0.09|2.70
HORIZONTE->Equivalente de humedad (%): 21.6|29.8|25.6|21.2|22.1
HORIZONTE->pH en pasta: 8.6|8.9|8.9|8.6|8.6
HORIZONTE->pH en agua 1:2,5: 9.6|9.8|9.7|9.5|9.5
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: |||6.1|
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: |||1.1|
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 7.2|16.4|11.4|7.6|7.9
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 1.6|2.4|2.3|1.8|2.4
HORIZONTE->Cationes de intercambio, me/100 gr-H+: ||||
HORIZONTE->Na+, % del valor T: 57|83.6|68.6|48.7|56
HORIZONTE->Conductividad, mmhos/cm: |4.54|||
HORIZONTE->Suma de bases, me/100 gr (S): |||16.6|
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 12.6|19.6|16.6|15.6|14
HORIZONTE->Saturación con bases, % (S/T): |||100|
HORIZONTE->Composición extracto de saturación, me/1-Ca++: |3.0|||
HORIZONTE->Composición extracto de saturación, me/1-Mg++: |0.8|||
HORIZONTE->Composición extracto de saturación, me/1-Na+: |47.0|||
HORIZONTE->Composición extracto de saturación, me/1-K+: |0.35|||
HORIZONTE->Composición extracto de saturación, me/1-HCO3-: |15.0|||
HORIZONTE->Composición extracto de saturación, me/1-SO4=: |35.6|||
HORIZONTE->Composición extracto de saturación, me/1-Cl-: |1.5|||
