HORIZONTE->NOMBRE(S)........: Ap   | Bt    | BC    | Ck
HORIZONTE->PROFUNDIDADES(CM): 0-21 | 21-52 | 52-76 | 76a+
HORIZONTE->MATERIA ORGÁN.(%): 2,3  | 0,8   | 0,7   | 0,4
HORIZONTE->CARBONO ORGÁN.(%): 1,3  | 0,5   | 0,4   | 0,2
HORIZONTE->NITRÓGENO TOT.(%): 0,15 | 0,08  |       |
HORIZONTE->RELACIÓN C/N.....: 8,8  | 5,9   |       |
HORIZONTE->ARCILLA 2 (%)....: 24,9 | 30,3  | 27,7  | 22,5
HORIZONTE->LIMO 2-50 (%)....: 69,2 | 60,5  | 65,0  | 69,6
HORIZONTE->AMF 50-100 (%)...: 5,9  | 5,8   | 6,5   | 8,2
HORIZONTE->AF 100-250 (%)...: 1,1  | 0,6   | 0,8   | 0,9
HORIZONTE->AM 250-500 (%)...: 0,1  | 0,1   | 0,1   |
HORIZONTE->AG 500-1000 (%)..: 0,1  | 0,1   | 0,1   |
HORIZONTE->AMG 1-2 mm (%)...:      |       |       |
HORIZONTE->CALCAREO CaCO3(%):      |       |       | 4,6
HORIZONTE->EQUIV. HUMEDAD(%): 25,3 | 25,3  | 24,3  | 22,6
HORIZONTE->PH PASTA.........: 6,2  | 7,5   | 7,8   | 8,3
HORIZONTE->PH H2O 1:2,5.....: 6,5  | 7,7   | 7,9   | 8,4 
HORIZONTE->CI ME/100G-Ca ++.: 12,4 | 16,3  | 16,5  |
HORIZONTE->CI ME/100G-Mg ++.: 2,4  | 1,1   | 0,6   |
HORIZONTE->CI ME/100G-Na +..: 0,2  | 0,1   | 0,1   | 0,2
HORIZONTE->CI ME/100G-K +...: 3,0  | 2,7   | 2,3   | 2,2
HORIZONTE->CI ME/100G-H +...: 1,2  |       |       |
HORIZONTE->SUM.B. ME/100G(S): 18,0 | 20,2  | 19,5  |
HORIZONTE->CIC ME/100G(T)...: 19,3 | 20,1  | 19,5  | 14,5
HORIZONTE->SAT.B % (S/T)....: 93   | 100   | 100   | 100
