HORIZONTE->NOMBRE(S)........: A    | Bt    | BCk   | Ck
HORIZONTE->PROFUNDIDADES(CM): 0-22 | 22-52 | 52-75 | 75a+
HORIZONTE->MATERIA ORGÁN.(%): 1,7  | 0,5   |       |
HORIZONTE->CARBONO ORGÁN.(%): 1,0  | 0,3   |       |
HORIZONTE->NITRÓGENO TOT.(%): 0,12 | 0,04  |       |
HORIZONTE->RELACIÓN C/N.....: 8,0  | 8,0   |       |
HORIZONTE->ARCILLA 2 (%)....: 15,1 | 25,5  | 21,1  | 19,9
HORIZONTE->LIMO 2-50 (%)....: 42,2 | 32,7  | 34,4  | 37,4
HORIZONTE->AMF 50-100 (%)...: 7,1  | 5,7   | 6,8   | 7,4
HORIZONTE->AF 100-250 (%)...: 10,6 | 9,6   | 10,7  | 9,9
HORIZONTE->AM 250-500 (%)...: 12,6 | 10,2  | 10,5  | 10,5
HORIZONTE->AG 500-1000 (%)..: 9,9  | 9,4   | 9,3   | 9,2
HORIZONTE->AMG 1-2 mm (%)...: 2,7  | 6,6   | 6,0   | 5,5
HORIZONTE->CALCAREO CaCO3(%): 0,0  | 1,6   | 1,6   | 1,9
HORIZONTE->EQUIV. HUMEDAD(%): 16,5 | 19,8  | 18,0  | 19,2
HORIZONTE->PH H2O 1:2,5.....: 6,8  | 8,3   | 8,5   | 8,5
HORIZONTE->CI ME/100G-Ca ++.: 8,0  |       |       |
HORIZONTE->CI ME/100G-Mg ++.: 0,7  |       |       |
HORIZONTE->CI ME/100G-Na +..: 0,3  | 0,4   | 0,4   | 0,5
HORIZONTE->CI ME/100G-K +...: 1,3  | 1,4   | 1,0   | 1,1
HORIZONTE->CI ME/100G-H +...: 0,9  |       |       |
HORIZONTE->SUM.B. ME/100G(S): 10,4 |       |       |
HORIZONTE->CIC ME/100G(T)...: 11,3 | 15,9  | 14,5  | 14,8
HORIZONTE->SAT.B % (S/T)....: 91,8 | 100   | 100   | 100
