HORIZONTE->NOMBRE(S)........: Ap   | A     | AC    | C
HORIZONTE->PROFUNDIDADES(CM): 0-15 | 15-35 | 35-80 | 80a+
HORIZONTE->MATERIA ORGÁN.(%): 0,4  | 0,4   | 0,4   |
HORIZONTE->CARBONO ORGÁN.(%): 0,2  | 0,2   | 0,2   |
HORIZONTE->NITRÓGENO TOT.(%): 0,06 | 0,04  | 0,04  |
HORIZONTE->RELACIÓN C/N.....: 4,2  | 5,6   | 6,1   |
HORIZONTE->ARCILLA 2 (%)....: 3,2  | 4,0   | 5,8   | 6,0
HORIZONTE->LIMO 2-50 (%)....: 7,3  | 10,9  | 11,3  | 11,5
HORIZONTE->AMF 50-100 (%)...: 2,9  | 1,1   | 1,2   | 0,8
HORIZONTE->AF 100-250 (%)...: 43,7 | 18,4  | 22,7  | 22,2
HORIZONTE->AM 250-500 (%)...: 24,5 | 22,6  | 25,9  | 25,5
HORIZONTE->AG 500-1000 (%)..: 16,3 | 39,3  | 30,7  | 31,2
HORIZONTE->AMG 1-2 mm (%)...: 0,7  | 3,0   | 1,1   | 1,1
HORIZONTE->CALCAREO CaCO3(%):      |       |       |
HORIZONTE->EQUIV. HUMEDAD(%): 7,9  | 6,3   | 6,7   | 7,5
HORIZONTE->PH PASTA.........: 5,4  | 5,0   | 5,4   | 6,0 
HORIZONTE->PH H2O 1:2,5.....: 5,6  | 5,2   | 5,8   | 6,1
HORIZONTE->CI ME/100G-Ca ++.: 2,0  | 2,5   | 3,0   | 3,3
HORIZONTE->CI ME/100G-Mg ++.: 0,8  | 0,2   | 0,1   | 0,5
HORIZONTE->CI ME/100G-Na +..: 0,1  | 0,1   | 0,1   | 0,04
HORIZONTE->CI ME/100G-K +...: 0,3  | 0,2   | 0,2   | 0,2
HORIZONTE->CI ME/100G-H +...: 0,5  | 0,9   | 0,7   | 0,5
HORIZONTE->SUM.B. ME/100G(S): 3,2  | 3,0   | 3,4   | 4,0
HORIZONTE->CIC ME/100G(T)...: 3,8  | 4,0   | 4,2   | 4,6
HORIZONTE->SAT.B % (S/T)....: 84   | 75    | 81    | 88
